.?Q?, files that are compressed - often by the SQ program.
7z, 7-Zip compressed file
AAPKG, ArchestrA IDE
AAC, Advanced Audio Coding
ace, ACE compressed file
ALZ, ALZip compressed file
APK, Android package: Applications installable on Android; package format of the Alpine Linux distribution
APPX, Microsoft Application Package (.appx)
AT3, Sony's UMD data compression
.bke, BackupEarth.com data compression
ARC, pre-Zip data compression
ARC, Nintendo U8 Archive (mostly Yaz0 compressed)
ARJ, ARJ compressed file
ASS, a subtitles file created by Aegisub - a video typesetting application (also a Halo game engine file)
B, (B file) Similar to .a - but less compressed.
BA, Scifer Archive (.ba) - Scifer External Archive Type
big, Special file compression format used by Electronic Arts to compress the data for many of EA's games
BIN, compressed archive - can be read and used by CD-ROMs and Java - extractable by 7-zip and WINRAR
bjsn, Used to store The Escapists saves on Android.
BKF, Microsoft backup created by NTBackup.c
bzip2,
bld, Skyscraper Simulator Building
cab, A cabinet (.cab) file is a library of compressed files stored as one file. Cabinet files are used to organize installation files that are copied to the user's system.[2]
c4, JEDMICS image files - a DOD system
cals, JEDMICS image files - a DOD system
CLIPFLAIR, ClipFlair Studio ClipFlair component saved state file (contains component options in XML - extra/attached files and nested components' state in child .clipflair.zip files - activities are also components and can be nested at any depth)
CPT - SEA, Compact Pro (Macintosh)
DAA, Closed-format - Windows-only compressed disk image
deb, Debian install package
DMG, an Apple compressed/encrypted format
DDZ," a file which can only be used by the ""daydreamer engine"" created by ""fever-dreamer"" - a program similar to RAGS - it's mainly used to make somewhat short games."
DN, Adobe Dimension CC file format
DPE, Package of AVE documents made with Aquafadas digital publishing tools.
.egg, Alzip Egg Edition compressed file
EGT, EGT Universal Document also used to create compressed cabinet files replaces .ecab
ECAB, EGT Compressed Folder used in advanced systems to compress entire system folders - replaced by EGT Universal Document
ESD, Electronic Software Distribution - a compressed and encrypted WIM File
ESS, EGT SmartSense File - detects files compressed using the EGT compression system.
Flipchart file, Used in Promethean ActivInspire Flipchart Software.
